folder,filename,stt_transcription,llm_response,timestamp,tts_file_path,reference_text,wer_score,cer_score
A,2222_audio1.wav,Aku mau book flight ke jada minggu depan bisa bantu schedule,"Bisa, *ya akhi/ukhti*! *Bismillah*, I can help you schedule. Boleh share *preferred dates* and *airline*-nya? *Syukran!*",2026-05-20T19:59:10.401782,data/results_tts/res_2222_audio1.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.2727,0.0781
A,2222_audio10.wav,Apa perbedaan umrah dan hajj secara detail dalam Islam?,"Here's the main difference: 1. **Status:** Hajj is *fardhu* (obligatory) once in a lifetime for those who are able, while Umrah is *sunnah* or recommended. 2. **Timing:** Hajj strictly takes place during *Syahrul Hijjah*, but Umrah can be done *anytime* throughout the year. 3. **Rituals:** Hajj is more complex, including *Wuquf* at Arafat, Muzdalifah, and Mina. Umrah is *simpler*, consisting of only Ihram, Tawaf, Sa'i, and Tahallul. *Kalla* (different) in terms of scale and obligation!",2026-05-20T19:59:35.974819,data/results_tts/res_2222_audio10.wav,Apa perbedaan umrah dan hajj secara detail dalam Islam,0.1111,0.0185
A,2222_audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang?,"Sekarang *more flexible*, ya! Ada *several options*: 1. **Umrah Visa**: Via travel agent (traditional way). 2. **Tourist eVisa**: Apply online, *sari'* (fast) process. 3. **Transit Visa**: For short stay if using Saudia/Flynas. Pastikan passport validity minimal 6 months. *Barakallahu fik!*",2026-05-20T19:59:57.529922,data/results_tts/res_2222_audio12.wav,Bagaimana proses visa Saudi untuk umrah dari Indonesia sekarang,0.1111,0.0159
A,2222_audio14.wav,Hal untuk membuat dokumen umrah dari Indonesia dengan benar.,"Tafaddal, here is the checklist for your documents: 1. **Paspor**: Must be valid for at least 6 months. 2. **Visa Umrah**: Processed by your travel agent. 3. **Vaccination Card**: Meningitis (mandatory) & Covid-19. 4. **Pas Foto**: Background putih, size 4x6. 5. **KTP & KK**: Untuk administrasi. Make sure everything is accurate, InshaAllah smooth! 🕋✨",2026-05-20T20:00:26.161264,data/results_tts/res_2222_audio14.wav,How to prepare dokumen umrah dari Indonesia dengan benar,0.4444,0.25
A,2222_audio2.wav,Aku butuh travel umrah simpel tapi inklud Marina Visit.,Ahlan! Ada *baqah* (package) simpel yang include Marina Visit in Jeddah. Very low-hassle. Mau check details-nya?,2026-05-20T20:00:47.340870,data/results_tts/res_2222_audio2.wav,Aku butuh travel umrah simple tapi include Madinah visit,0.4444,0.125
A,2222_audio3.wav,Bisa bantu aku menggunakan transport dari judah ke Madina?,"Bisa banget! *Tafaddal*, here are your options: 1. **Haramain High Speed Railway** (Fastest 🚅). 2. **Taxi/Private Car** (Flexible 🚗). 3. **Bus** (Budget-friendly 🚌). *Kullu shay'in* ready. Which one do you prefer?",2026-05-20T20:01:10.813444,data/results_tts/res_2222_audio3.wav,Can you help aku arrange transport dari Jeddah ke Madinah tomorrow,0.6364,0.5
A,2222_audio4.wav,Explain step by step cara apply visa soldi dengan benar.,"Ahlan! Let's get your Saudi visa sorted. Here are the steps: 1. **Prepare Documents**: Siapkan passport (valid min 6 months) & digital photo. 2. **Access Portal**: Buka `visa.visitsaudi.com` or use the Nusuk app. 3. **Fill Data**: Isi application form carefully. Make sure no typos, ya! 4. **Payment**: Pay the fee online. InshaAllah smooth process. 5. **Receive Visa**: Check your email for the e-visa. Print it out for *ihtiyat* (precaution). Barakallahu feek! 🕋",2026-05-20T20:01:40.850883,data/results_tts/res_2222_audio4.wav,Explain step by step cara apply visa Saudi dengan benar,0.2,0.0545
A,2222_audio5.wav,"Ya Aki, urdu buku flag ilegiedah alas buah al-kadim. Hal bisa bantu Ajida Aftal, schedule warihanatan Mubashirah.","Ahlan wa sahlan! Yes, saya bisa help you. Tafaddal, share detail schedule-nya, I'll make it *afdal* for you. Syukran!",2026-05-20T20:02:14.176724,data/results_tts/res_2222_audio5.wav,"Ya akhi, uridu book flight ila Jeddah al-usbu'al qadim. Hal bisa bantu ajida afdhal schedule wa rihlatan mubashirah?",0.6667,0.2328
A,2222_audio6.wav,Uridu Range Transport minggeda ilah Medina Roden,"Tayyib, I'll arrange the transport. Tunggu ya, I'll check the availability menuju Medina hotel. Syukran!",2026-05-20T20:02:35.542277,data/results_tts/res_2222_audio6.wav,Uridu arrange transport min Jeddah ila Madinah ghadan,0.75,0.2453
A,2222_audio7.wav,"Book flight kejada lalu lanjut ke Marina, schedule terbaik kapan?","Ahlan! Best timing itu flight ke Jeddah morning time, terus lanjut take Haramain Train ke Madinah biar efisien. Bi-idznillah, it's the fastest way. Check availability now, ya!",2026-05-20T20:03:11.496710,data/results_tts/res_2222_audio7.wav,"Book flight ke Jeddah lalu lanjut ke Madinah, schedule terbaik kapan",0.3636,0.1029
A,2301_audio1.wav,aku mau buka fly ke jedah minggu depan bisa bantu schedule,"Ahlan! Sure, bisa banget. Let's arrange the schedule, InshaAllah. Tafaddal, kirim preferred date-nya ya!",2026-05-20T20:03:45.696377,data/results_tts/res_2301_audio1.wav,"Aku mau book flight ke Jeddah minggu depan, bisa bantu schedule?",0.4545,0.1562
A,2301_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim?,"Karena it's one of the *Arkan al-Islam* (pillars of Islam). Allah commands it in the Quran supaya kita achieve *Taqwa* and cleanse our soul. Simply put, it's a form of obedience to *Allah SWT*.",2026-05-20T20:04:19.930020,data/results_tts/res_2301_audio11.wav,Kenapa fasting di Ramadan itu wajib bagi muslim,0.125,0.0213
